Count,Name,Foil,Card Number,Edition,Language,
1,Narrow Escape,,55,Duel Decks: Phyrexia vs. the Coalition,English,
1,Exotic Curse,,56,Duel Decks: Phyrexia vs. the Coalition,English,
2,Harrow,,57,Duel Decks: Phyrexia vs. the Coalition,English,
2,Armadillo Cloak,,58,Duel Decks: Phyrexia vs. the Coalition,English,
1,Darigaaz's Charm,,59,Duel Decks: Phyrexia vs. the Coalition,English,
1,Rith's Charm,,60,Duel Decks: Phyrexia vs. the Coalition,English,
1,Treva's Charm,,61,Duel Decks: Phyrexia vs. the Coalition,English,
1,Power Armor,,62,Duel Decks: Phyrexia vs. the Coalition,English,
1,Allied Strategies,,63,Duel Decks: Phyrexia vs. the Coalition,English,
1,Elfhame Palace,,64,Duel Decks: Phyrexia vs. the Coalition,English,
1,Shivan Oasis,,65,Duel Decks: Phyrexia vs. the Coalition,English,
3,Terramorphic Expanse,,66,Duel Decks: Phyrexia vs. the Coalition,English,
4,Plains,,67,Duel Decks: Phyrexia vs. the Coalition,English,
1,Island,,68,Duel Decks: Phyrexia vs. the Coalition,English,
,Swamp,,33,Duel Decks: Phyrexia vs. the Coalition,English,"1 in this deck, only 6 in the other deck"
4,Mountain,,69,Duel Decks: Phyrexia vs. the Coalition,English,
5,Forest,,70,Duel Decks: Phyrexia vs. the Coalition,English,
5,Forest,,71,Duel Decks: Phyrexia vs. the Coalition,English,
1,Saproling,,3,Extras: Duel Decks: Phyrexia vs. the Coalition,English,
